Date,Mean,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
18/07/2016,119.22,114.99,129.28,135.02,109.77,109.69,131.29,117.18,107.92,119.52,126.44,130.73,111.09,106.97
19/07/2016,117.82,112.82,126.41,131.8,109.28,108.67,130.6,118.63,107.33,118.88,125.08,128.22,109.93,104.07
20/07/2016,116.21,110.05,124.78,128.57,107.95,107.6,129.05,117.65,105.36,117.73,124.26,127.04,109.33,101.42
21/07/2016,114.83,108.46,123.73,127.01,106.7,105.03,127,116.29,104.72,117.32,122.17,126.13,107.34,100.91
22/07/2016,113.34,107.74,121.4,124.33,106.14,103.12,122.11,116.17,104.91,116.95,121.23,124.71,104.42,100.21
23/07/2016,111.63,105.04,117.24,121.23,105.28,102.65,120.06,117.08,103.27,114.11,120.05,124.16,102.48,98.51
24/07/2016,110.32,104.48,113.49,120.22,103.54,100.79,118.32,117.07,102.13,112.4,119.94,123.14,100.39,98.24
25/07/2016,108.86,102.88,112.63,118.82,102.09,100.2,115.61,115.94,102.14,110.4,119.8,121.2,98.74,94.74
26/07/2016,108.01,103.66,110.99,118.34,99.92,99.49,114.14,116.66,102.97,108.24,119.38,120.25,97.5,92.56
27/07/2016,106.79,102.81,109.89,118.07,98.43,98.8,113.55,115.69,102.23,105.25,118.36,118.23,96.61,90.31
28/07/2016,105.91,101.43,109.68,118.58,97.03,97.59,113.71,116.13,102.29,101.49,117.19,116.83,94.8,90.02
29/07/2016,104.98,99.24,107.46,119.13,95.4,96.19,113.3,117.88,103.52,98.84,115.33,114.92,94.94,88.59
30/07/2016,103.81,97.24,107.9,118.72,93.77,94.18,112.2,117.69,100.94,97.02,114.52,112.66,94.45,88.2
31/07/2016,102.88,94.25,107.83,117.5,92.68,93.78,111.17,119.26,99.14,94.44,113.69,112.47,95.08,86.1
01/08/2016,102.06,90.81,109.48,116.69,91.68,92.67,112.34,120.03,99.25,91.21,111.95,111.48,93.83,85.31
02/08/2016,101.17,91.05,111.53,115.45,90.59,93.31,109.65,119.91,97.11,89.29,110.06,111,92.51,83.79
03/08/2016,100.64,89.95,112.67,114.06,90.21,91.93,109.98,118.59,96,88.26,110.75,109.8,92.77,83.32
04/08/2016,100.06,88.06,114.19,112.84,88.86,90.21,110.47,117.71,94.85,86.52,110.94,108.73,95,82.39
05/08/2016,99.51,88.54,114.25,112.42,87.55,89.59,110.16,118.5,94.95,83.72,108.93,106.63,95.72,82.64
06/08/2016,98.2,85.14,115.69,111.21,86.63,88.43,110.32,116.73,93.87,81.84,103.94,104.88,95.29,82.63
07/08/2016,97.79,84.45,117.66,110.64,85.71,87.94,112.09,116.28,93.92,80.68,101.93,102.79,94.02,83.13
08/08/2016,97.9,85.68,118.08,111.2,85.94,88.17,114.13,115.89,94.2,80.16,100.4,101.83,92.38,84.65
