Date,Greenland,Canada,USA,eastern Canada,western Canada,northern Canada,Alaska,US NE,US MidWest,US Pacific,US Rockies
16/07/1997,-0.093,-0.298,-0.222,0.017,-0.53,-0.313,-0.335,0,0,-0.029,-0.455
17/07/1997,-0.234,-0.224,-0.225,0.012,-0.538,-0.112,-0.355,0,0,-0.029,-0.449
18/07/1997,-0.168,-0.264,-0.226,0.012,-0.541,-0.212,-0.357,0,0,-0.029,-0.45
19/07/1997,-0.176,-0.268,-0.225,0.012,-0.519,-0.241,-0.383,0,0,-0.029,-0.43
20/07/1997,-0.013,-0.155,-0.226,0.012,-0.487,0.02,-0.384,0,0,-0.029,-0.43
21/07/1997,-0.242,-0.193,-0.213,0.008,-0.28,-0.256,-0.408,0,0,-0.029,-0.371
22/07/1997,-0.048,-0.102,-0.214,0.007,-0.278,-0.023,-0.413,0,0,-0.029,-0.371
23/07/1997,-0.032,-0.1,-0.21,0.007,-0.278,-0.018,-0.403,0,0,-0.029,-0.366
24/07/1997,0.089,-0.051,-0.21,0.007,-0.283,0.112,-0.405,0,0,-0.029,-0.365
25/07/1997,-0.084,-0.139,-0.199,0.007,-0.315,-0.085,-0.359,0,0,-0.028,-0.365
26/07/1997,-0.086,-0.122,-0.188,0.005,-0.281,-0.07,-0.31,0,0,-0.028,-0.366
27/07/1997,0.091,-0.047,-0.186,0.005,-0.287,0.127,-0.304,0,0,-0.028,-0.364
28/07/1997,-0.105,-0.134,-0.186,0.003,-0.286,-0.096,-0.303,0,0,-0.028,-0.363
29/07/1997,-0.274,-0.139,-0.187,0.001,-0.288,-0.104,-0.308,0,0,-0.028,-0.362
30/07/1997,-0.066,-0.065,-0.191,0,-0.295,0.09,-0.328,0,0,-0.028,-0.361
31/07/1997,-0.246,-0.144,-0.189,0,-0.297,-0.11,-0.321,0,0,-0.028,-0.36
01/08/1997,-0.244,-0.117,-0.147,0,-0.236,-0.093,-0.23,0,0,-0.028,-0.294
02/08/1997,-0.237,-0.116,-0.104,0,-0.235,-0.092,-0.222,0,0,-0.027,-0.163
03/08/1997,-0.084,-0.053,-0.103,0,-0.231,0.066,-0.229,0,0,-0.027,-0.153
04/08/1997,-0.099,-0.058,-0.098,0,-0.237,0.057,-0.237,0,0,-0.027,-0.132
05/08/1997,-0.077,-0.064,-0.102,0,-0.239,0.045,-0.253,0,0,-0.027,-0.132
06/08/1997,-0.001,-0.074,-0.081,0,-0.24,0.02,-0.251,0,0,-0.027,-0.067
07/08/1997,-0.004,-0.097,-0.078,0,-0.24,-0.04,-0.238,0,0,-0.027,-0.067
08/08/1997,0.102,-0.008,-0.077,0,-0.242,0.191,-0.235,0,0,-0.027,-0.067
09/08/1997,0.002,-0.058,-0.077,0,-0.242,0.062,-0.233,0,0,-0.026,-0.066
10/08/1997,-0.008,-0.082,-0.083,0,-0.307,0.058,-0.259,0,0,-0.026,-0.066
11/08/1997,0.075,-0.028,-0.082,0,-0.262,0.156,-0.264,0,0,-0.051,-0.056
12/08/1997,0.075,-0.031,-0.087,0,-0.27,0.157,-0.271,0,0,-0.051,-0.068
13/08/1997,0.072,-0.026,-0.084,0,-0.262,0.162,-0.265,0,0,-0.051,-0.064
14/08/1997,-0.013,-0.088,-0.083,0,-0.347,0.076,-0.26,0,0,-0.05,-0.064
15/08/1997,0.07,-0.058,-0.084,0,-0.344,0.152,-0.262,0,0,-0.05,-0.064
16/08/1997,0.014,-0.094,-0.076,0,-0.344,0.06,-0.231,0,0,-0.05,-0.063
17/08/1997,0.014,-0.076,-0.023,0,-0.334,0.095,-0.009,0,0,-0.05,-0.063
18/08/1997,0.008,-0.076,-0.023,0,-0.332,0.096,-0.008,0,0,-0.049,-0.062
19/08/1997,0.03,-0.066,-0.037,0,-0.33,0.119,-0.069,0,0,-0.049,-0.062
20/08/1997,0.039,-0.069,-0.036,0,-0.327,0.108,-0.066,0,0,-0.049,-0.061
21/08/1997,0.107,0.064,-0.018,0,-0.052,0.21,0.012,0,0,-0.048,-0.061
22/08/1997,0.1,0.066,-0.019,0,-0.051,0.214,0.007,0,0,-0.048,-0.061
23/08/1997,0.043,0.04,-0.021,0,-0.044,0.139,-0.004,0,0,-0.047,-0.059
24/08/1997,0.045,-0.183,-0.019,0,-0.052,-0.424,0.003,0,0,-0.047,-0.059
25/08/1997,0.052,-0.163,-0.02,0,-0.051,-0.374,-0.001,0,0,-0.047,-0.059
